DEPARTMENT,,,,"JUNE 
FY19 ACTUAL","JUNE 
FY20 ACTUAL","actual vs.
prior yr","JUNE 
FY20 ESTIMATE",actual vs. estimate,"YTD
FY19 ACTUAL",,"YTD
FY20 ACTUAL",,"actual vs.
prior yr","YTD 
FY20 ESTIMATE",,actual vs. estimate,"FY20 
APPROPRIATION"
,,,,,,,,,,,,,,,,,
ADMINISTRATIVE SERV ,,,,"12,708,134","12,618,570",99%,"13,781,557",92%,"139,487,030",,"131,776,261",,94%,"143,259,269",,92%,"143,259,269"
"AGRICULT, MARKETS & FOOD ",,,,"578,740","595,676",103%,"823,839",72%,"5,097,475",,"5,300,499",,104%,"6,420,792",,83%,"6,420,792"
BANKING ,,,,"489,500","479,816",98%,"489,999",98%,"5,856,210",,"5,571,101",,95%,"5,571,101",,100%,"5,571,101"
BUS & ECON AFFAIRS ,,,,"2,734,625","2,351,289",86%,"2,991,712",79%,"25,761,229",,"21,669,624",,84%,"28,007,888",,77%,"28,007,888"
COMMUNITY COLLEGE SYSTEM OF NH,,,,"3,921,954","4,698,472",120%,"4,771,250",98%,"47,075,000",,"57,255,000",,122%,"57,255,000",,100%,"57,255,000"
CORRECTIONS ,,,,"11,176,595","11,362,739",102%,"12,136,477",94%,"130,769,061",,"135,735,267",,104%,"138,586,353",,98%,"138,586,353"
DEVELOPMENT DISABILITIES CNCL,,,,"47,876","51,577",108%,"104,109",50%,"448,630",,"633,991",,141%,"986,213",,64%,"986,213"
EDUCATION DEPT OF,,,,"21,143,611","17,141,892",81%,"124,608,015",14%,"1,247,817,094",,"1,292,714,971",,104%,"1,449,940,722",,89%,"1,449,940,722"
EMPLOYMENT SECURITY ,,,,"4,852,615","22,532,771",464%,"9,962,700",226%,"32,031,509",,"67,305,975",,210%,"107,203,953",,63%,"107,203,953"
ENVIRONMENTAL SERV ,,,,"22,206,659","31,953,928",144%,"47,639,874",67%,"192,014,972",,"210,826,506",,110%,"315,570,373",,67%,"315,570,373"
