DEPARTMENT,,,,"JUNE 
FY18 ACTUAL","JUNE 
FY19 ACTUAL","actual vs.
prior yr","JUNE 
FY19 ESTIMATE",actual vs. estimate,"YTD
FY18 ACTUAL",,"YTD
FY19 ACTUAL",,"actual vs.
prior yr","YTD 
FY19 ESTIMATE",,actual vs. estimate,"FY19 
APPROPRIATION"
,,,,,,,,,,,,,,,,,
ADJUTANT GENERAL'S ,,,,"2,307,492","1,800,500",78%,"2,162,790",83%,"25,431,796",,"23,795,921",,94%,"23,818,188",,100%,"23,818,188"
ADMINISTRATIVE SERV ,,,,"12,752,743","12,708,134",100%,"13,132,830",97%,"148,671,352",,"139,487,030",,94%,"139,674,078",,100%,"139,674,078"
"AGRICULT, MARKETS & FOOD ",,,,"457,468","578,740",127%,"707,415",82%,"4,822,144",,"5,097,475",,106%,"5,854,395",,87%,"5,854,395"
BANKING ,,,,"508,098","489,500",96%,"628,534",78%,"5,143,176",,"5,856,210",,114%,"5,856,210",,100%,"5,856,210"
BOXING & WRESTLING COMMISSION,,,,0,912,0%,256,356%,"1,442",,"3,071",,213%,"3,071",,100%,"3,071"
BUS & ECON AFFAIRS ,,,,"2,441,015","2,734,625",112%,"3,927,259",70%,"24,301,781",,"25,761,229",,106%,"39,674,248",,65%,"39,674,248"
COMMUNITY COLLEGE SYSTEM OF NH,,,,"3,872,917","3,921,954",101%,"3,922,917",100%,"46,475,000",,"47,075,000",,101%,"47,075,000",,100%,"47,075,000"
COMMUNITY DEV FINANCE AUTH,,,,0,0,0%,"14,359",0%,"170,604",,"172,310",,101%,"172,310",,100%,"172,310"
CORRECTIONS ,,,,"11,644,818","11,176,595",96%,"13,464,302",83%,"119,879,249",,"130,769,061",,109%,"130,814,573",,100%,"130,814,573"
DEVELOPMENT DISABILITIES CNCL,,,,"39,007","47,876",123%,"130,151",37%,"416,405",,"448,630",,108%,"732,119",,61%,"732,119"
EDUCATION DEPT OF,,,,"16,882,971","21,143,611",125%,"115,399,966",18%,"1,231,295,522",,"1,247,817,094",,101%,"1,355,368,569",,92%,"1,355,368,569"
EMPLOYMENT SECURITY ,,,,"4,888,510","4,852,615",99%,"9,608,893",51%,"31,290,699",,"32,031,509",,102%,"89,915,297",,36%,"89,915,297"
ENVIRONMENTAL SERV ,,,,"17,428,717","22,206,659",127%,"26,618,364",83%,"175,019,771",,"192,014,972",,110%,"238,994,316",,80%,"238,994,316"
