DEPARTMENT,,,,"JUNE 
FY22 ACTUAL","JUNE 
FY23 ACTUAL","actual vs.
prior yr","JUNE 
FY23 ESTIMATE",actual vs. estimate,"YTD
FY22 ACTUAL",,"YTD
FY23 ACTUAL",,"actual vs.
prior yr","YTD 
FY23 ESTIMATE",,actual vs. estimate,"FY23 
APPROPRIATION"
,,,,,,,,,,,,,,,,,
ADMINISTRATIVE SERV ,,,,"6,923,735","14,327,579",207%,"19,537,891",73%,"124,616,689",,"147,323,815",,118%,"249,304,450",,59%,"249,304,450"
"AGRICULT, MARKETS & FOOD ",,,,"529,634","595,716",112%,"1,141,893",52%,"5,947,934",,"7,421,129",,125%,"11,889,584",,62%,"11,889,584"
BANKING ,,,,"528,496","787,839",149%,"553,510",142%,"5,838,143",,"6,104,962",,105%,"6,104,962",,100%,"6,104,962"
BUS & ECON AFFAIRS ,,,,"24,127,287","2,395,472",10%,"45,020,358",5%,"44,461,819",,"114,878,244",,258%,"281,620,292",,41%,"281,620,292"
COMMUNITY COLLEGE SYSTEM OF NH,,,,"4,666,667",0,0%,"5,153,623",0%,"57,500,000",,"57,500,000",,100%,"63,500,000",,91%,"63,500,000"
CORRECTIONS ,,,,"11,835,738","19,637,120",166%,"18,301,406",107%,"144,673,206",,"164,837,324",,114%,"183,965,049",,90%,"183,965,049"
DEPT. OF ENERGY,,,,"4,307,247","12,584,146",292%,"11,258,612",112%,"84,321,190",,"126,274,381",,150%,"146,504,807",,86%,"146,504,807"
DEVELOPMENT DISABILITIES CNCL,,,,"59,211","53,737",91%,"165,619",32%,"568,844",,"455,569",,80%,"912,690",,50%,"912,690"
EDUCATION DEPT OF,,,,"22,558,968","22,946,760",102%,"176,968,771",13%,"1,493,089,562",,"1,555,753,486",,104%,"2,055,883,944",,76%,"2,055,883,944"
EMPLOYMENT SECURITY ,,,,"1,060,385","5,775,163",545%,"8,982,743",64%,"49,232,753",,"45,848,595",,93%,"87,655,086",,52%,"87,655,086"
ENVIRONMENTAL SERV ,,,,"18,287,078","24,647,811",135%,"93,068,359",26%,"172,388,373",,"210,738,373",,122%,"373,018,142",,56%,"373,018,142"
